,team_api_id,team_rank,team_long_name,team_offense_rating,team_defense_rating,team_spi_rating
0,8634,1,Barcelona,3.3,0.3,93.5
1,8633,2,Real Madrid,3.4,0.4,92.8
2,9823,3,Bayern Munich,3.2,0.4,92.1
3,9847,4,PSG,3.2,0.5,91.7
4,8456,5,Man. City,3.0,0.5,89.4
5,9885,6,Juventus,2.6,0.5,86.3
6,9875,7,Napoli,2.5,0.5,84.8
7,8455,8,Chelsea,2.6,0.6,84.0
8,9906,9,Atlético Madrid,2.1,0.4,83.8
9,8650,10,Liverpool,2.7,0.7,83.7
10,9789,11,Dortmund,2.8,0.8,82.5
11,9825,12,Arsenal,2.7,0.7,82.5
12,10260,13,Man. United,2.5,0.6,82.5
13,8586,14,Tottenham,2.3,0.6,82.4
14,8686,15,Roma,2.4,0.7,80.7
15,0,16,Inter Milan,2.4,0.7,79.8
16,10267,17,Valencia,2.3,0.7,78.7
17,9773,18,Porto,2.2,0.7,77.4
18,8543,19,Lazio,2.3,0.8,77.0
19,8178,20,Leverkusen,2.3,0.8,76.8
20,8560,21,Real Sociedad,2.4,0.9,76.5
21,9748,22,Lyon,2.2,0.8,76.1
22,8302,23,Sevilla,2.2,0.8,76.1
23,0,24,RB Leipzig,2.2,0.8,75.4
24,9829,25,Monaco,2.2,0.8,74.5
25,10189,26,Schalke 04,2.0,0.7,73.9
26,0,27,CSKA Moscow,1.9,0.6,73.8
27,10205,28,Villarreal,2.1,0.8,73.0
28,8593,29,Ajax,2.6,1.2,73.0
29,0,30,Shakhtar,2.2,0.9,72.9
30,8592,31,Marseille,2.0,0.8,72.7
31,8226,32,Hoffenheim,2.1,0.9,71.9
32,0,33,Athletic Bilbao,1.9,0.7,71.6
33,8524,34,Atalanta,2.0,0.8,71.4
34,9772,35,Benfica,1.9,0.8,71.3
35,0,36,Celta Vigo,2.1,0.9,71.3
36,0,37,Leganés,1.7,0.6,71.1
37,0,38,AC Milan,1.9,0.8,71.1
38,0,39,Gladbach,2.2,1.0,71.0
39,8640,40,PSV,2.5,1.2,70.2
40,9810,41,Eintracht,1.8,0.7,70.2
41,0,42,Zenit,1.8,0.7,70.2
42,8406,43,FC Augsburg,1.9,0.8,70.1
43,8305,44,Getafe,1.8,0.8,69.9
44,0,45,Spartak Moscow,2.1,0.9,69.7
45,9994,46,Sporting,1.9,0.9,69.7
46,0,47,RB Salzburg,2.0,0.9,69.5
47,0,48,Dynamo Kiev,2.0,0.9,69.5
48,8721,49,Wolfsburg,1.9,0.9,69.4
49,8372,50,Eibar,1.8,0.8,69.3
50,8535,51,Fiorentina,2.0,0.9,69.0
51,9931,52,Basel,2.1,1.0,68.1
52,8558,53,Espanyol,1.6,0.7,67.2
53,0,54,Lokomotiv,1.7,0.7,66.9
54,0,55,Beşiktaş,1.7,0.8,65.9
55,8697,56,Werder Bremen,1.8,0.9,65.7
56,0,57,Girona,1.7,0.9,65.5
57,9925,58,Celtic,2.1,1.2,65.5
58,9882,59,Sampdoria,2.0,1.1,64.8
59,8177,60,Hertha BSC,1.8,1.0,64.4
60,9864,61,Málaga,1.7,0.9,64.4
61,0,62,Boca Juniors,1.6,0.8,64.2
62,8603,63,Real Betis,1.9,1.0,63.6
63,9827,64,Bordeaux,1.7,0.9,63.6
64,8466,65,Southampton,1.7,0.9,63.5
65,9783,66,Deportivo,1.8,1.0,63.4
66,9817,67,Watford,1.8,1.1,62.8
67,9905,68,Mainz,1.7,1.0,62.5
68,8197,69,Leicester City,1.7,1.0,62.2
69,0,70,Krasnodar,1.7,1.0,62.1
70,9790,71,Hamburger SV,1.6,0.9,61.8
71,9804,72,Torino,1.8,1.0,61.6
72,10269,73,VfB Stuttgart,1.7,1.0,61.6
73,0,74,Başakşehir,1.7,1.0,61.3
74,10192,75,Young Boys,1.9,1.2,61.2
75,0,76,Olympiacos,1.7,1.0,61.0
76,9830,77,Nantes,1.5,0.8,61.0
77,0,78,Alavés,1.5,0.9,60.9
78,0,79,Fenerbahçe,1.9,1.2,60.7
79,10249,80,Montpellier,1.4,0.7,60.7
80,8191,81,Burnley,1.5,0.9,60.6
81,0,82,Malmö,1.8,1.2,60.3
82,9904,83,Hannover 96,1.7,1.1,60.2
83,10264,84,Braga,1.6,1.0,59.9
84,8600,85,Udinese,1.6,1.0,59.8
85,8635,86,Anderlecht,1.7,1.1,59.3
86,8306,87,Las Palmas,1.7,1.1,59.3
87,9831,88,Nice,1.6,1.0,59.2
88,0,89,Viktoria Plzen,1.8,1.2,59.1
89,0,90,Rennes,1.4,0.9,59.0
90,0,91,Slavia Prague,1.6,1.0,58.9
91,0,92,1. FC Cologne,1.6,1.1,58.7
92,0,93,Galatasaray,1.8,1.2,58.7
93,10194,94,Stoke City,1.7,1.1,58.3
94,8358,95,SC Freiburg,1.6,1.0,58.0
95,0,96,Red Star,1.9,1.4,57.9
96,8234,97,Ingolstadt,1.6,1.0,57.8
97,8668,98,Everton,1.7,1.2,57.8
98,9826,99,Crystal Palace,1.5,1.0,57.8
99,10233,100,Genoa,1.5,1.0,57.7
100,9836,101,Dijon FCO,1.7,1.1,57.4
101,8121,102,Angers,1.4,1.0,56.9
102,0,103,Ufa,1.3,0.8,56.7
103,9857,104,Bologna,1.5,1.0,56.6
104,0,105,AIK,1.5,1.0,56.4
105,0,106,Flamengo,1.4,1.0,56.3
106,0,107,Palmeiras,1.6,1.1,56.2
107,9941,108,Toulouse,1.3,0.9,56.1
108,8678,109,Bournemouth,1.5,1.1,56.1
109,0,110,Corinthians,1.4,1.0,55.6
110,0,111,Tigres UANL,1.4,1.0,55.5
111,10235,112,Feyenoord,1.7,1.2,55.4
112,8529,113,Cagliari,1.6,1.2,55.4
113,0,114,Atlético Mineiro,1.7,1.3,55.3
114,8581,115,Levante,1.5,1.1,55.1
115,0,116,Monterrey,1.5,1.1,55.0
116,0,117,Rubin Kazan,1.1,0.7,54.9
117,9747,118,Guingamp,1.4,1.0,54.8
118,0,119,Ural,1.4,1.0,54.7
119,7819,120,Caen,1.3,0.9,54.7
120,7943,121,Sassuolo,1.5,1.1,54.5
121,0,122,Copenhagen,1.4,1.1,54.4
122,0,123,Independiente,1.2,0.8,54.3
123,0,124,Huesca,1.3,1.0,54.1
124,8654,125,West Ham,1.6,1.2,53.6
125,8533,126,Chievo,1.5,1.2,53.6
126,0,127,Sturm Graz,1.6,1.3,53.5
127,8659,128,West Brom,1.4,1.0,53.4
128,0,129,Partizan,1.8,1.4,53.2
129,0,130,Defensa y Justicia,1.4,1.1,53.0
130,10261,131,Newcastle,1.5,1.2,52.9
131,0,132,Akhmat Grozny,1.5,1.1,52.9
132,7878,133,Granada,1.4,1.1,52.7
133,0,134,Rosenborg,1.5,1.2,52.6
134,0,135,St Étienne,1.4,1.1,52.6
135,8639,136,Lille,1.3,1.0,52.5
136,0,137,San Lorenzo,1.3,1.0,52.5
137,0,138,Rostov,1.2,0.9,52.5
138,0,139,Apoel Nicosia,1.5,1.2,52.2
139,0,140,Cruzeiro,1.4,1.1,52.1
140,0,141,Steaua Bucuresti,1.4,1.1,52.1
141,10003,142,Swansea City,1.3,1.0,51.9
142,0,143,Brighton,1.3,1.0,51.9
143,0,144,AEK Athens,1.3,1.0,51.9
144,0,145,Atlético-PR,1.3,1.0,51.3
145,0,146,Dinamo Moscow,1.3,1.0,51.1
146,8371,147,Osasuna,1.3,1.1,51.0
147,0,148,Grêmio,1.3,1.1,50.9
148,0,149,River Plate,1.4,1.2,50.5
149,7844,150,Vitória,1.5,1.3,50.5
150,0,151,Östersunds FK,1.4,1.2,50.4
151,0,152,Rijeka,1.3,1.1,50.4
152,0,153,Ludogorets,1.4,1.2,50.4
153,0,154,AZ Alkmaar,1.6,1.4,50.3
154,0,155,Djurgårdens IF,1.5,1.3,50.3
155,8696,156,Racing,1.4,1.2,50.2
156,0,157,São Paulo,1.3,1.1,50.1
157,0,158,Bursaspor,1.5,1.3,50.0
158,0,159,Cádiz,1.1,0.9,50.0
159,0,160,Hapoel Be'er,1.4,1.2,49.9
160,7841,161,Rio Ave,1.1,0.9,49.6
161,0,162,Rapid Vienna,1.4,1.3,49.6
162,0,163,Astana,1.5,1.3,49.6
163,10242,164,Troyes,1.3,1.1,49.6
164,8370,165,Rayo Vallecano,1.3,1.2,49.4
165,0,166,SPAL,1.3,1.2,49.4
166,0,167,Estudiantes,1.1,0.9,49.3
167,0,168,Talleres,1.2,1.0,49.3
168,8344,169,Cardiff City,1.3,1.1,49.1
169,8602,170,Wolverhampton,1.4,1.3,49.1
170,0,171,Huracán,1.2,1.0,49.0
171,9837,172,Reims,1.2,1.0,49.0
172,8277,173,Vitesse,1.5,1.4,48.7
173,0,174,Chapecoense,1.2,1.1,48.6
174,10167,175,Parma,1.3,1.2,48.6
175,0,176,Santos,1.3,1.1,48.6
176,0,177,Amkar Perm,1.0,0.8,48.5
177,0,178,Bahía,1.3,1.2,48.4
178,0,179,Kayserispor,1.4,1.3,48.2
179,0,180,Sporting Gijón,1.3,1.2,48.2
180,0,181,Alanyaspor,1.7,1.6,48.1
181,9956,182,Zürich,1.3,1.2,48.1
182,0,183,Colón,1.1,1.0,48.0
183,0,184,Strasbourg,1.4,1.3,48.0
184,0,185,Arsenal Tula,1.2,1.1,48.0
185,0,186,Nîmes,1.5,1.4,47.9
186,0,187,Crotone,1.3,1.2,47.8
187,0,188,Banfield,1.2,1.1,47.6
188,10252,189,Aston Villa,1.2,1.1,47.4
189,7844,190,Guimarães,1.3,1.2,47.3
190,0,191,Unión,1.2,1.1,47.2
191,0,192,Botafogo,1.2,1.2,46.8
192,0,193,BK Häcken,1.4,1.3,46.7
193,0,194,Sport Recife,1.3,1.2,46.5
194,8689,195,Lorient,1.4,1.3,46.5
195,0,196,Amiens,1.2,1.1,46.4
196,0,197,Rosario Central,1.2,1.1,46.3
197,0,198,Anzhi,1.4,1.4,46.2
198,0,199,Godoy Cruz,1.2,1.1,46.1
199,0,200,Cruz Azul,1.2,1.2,46.1
200,9746,201,Le Havre,1.0,1.0,46.0
201,0,202,Vasco da Gama,1.1,1.1,46.0
202,0,203,Toronto FC,1.4,1.4,45.9
203,0,204,Trabzonspor,1.6,1.6,45.8
204,0,205,Fluminense,1.3,1.3,45.5
205,0,206,Kasımpaşa,1.6,1.6,45.5
206,0,207,Maccabi Tel-Aviv,1.3,1.3,45.3
207,0,208,Akhisar Belediye,1.3,1.4,45.2
208,9908,209,Utrecht,1.6,1.7,45.2
209,0,210,Zorya Luhansk,1.2,1.2,45.1
210,0,211,Lanús,1.1,1.1,45.1
211,0,212,Seattle,1.2,1.3,44.9
212,0,213,Oviedo,1.4,1.4,44.9
213,8533,214,Verona,1.3,1.3,44.8
214,0,215,León,1.4,1.4,44.5
215,0,216,Huddersfield,1.2,1.2,44.4
216,0,217,Austria Vienna,1.6,1.6,44.4
217,9765,218,Portimonense,1.4,1.5,44.3
218,10172,219,Rangers,1.5,1.6,44.2
219,8534,220,Empoli,1.5,1.6,44.1
220,0,221,Belgrano,1.0,1.0,44.0
221,8549,222,Middlesbrough,1.2,1.2,43.9
222,0,223,Holstein Kiel,1.3,1.4,43.9
223,9867,224,Tenerife,1.2,1.2,43.8
224,0,225,Gimnasia,1.1,1.2,43.8
225,8165,226,1. FC Nürnberg,1.4,1.5,43.8
226,0,227,Derby County,1.2,1.3,43.6
227,0,228,Grasshoppers,1.3,1.4,43.6
228,0,229,Toluca,1.3,1.4,43.5
229,0,230,BATE Borisov,1.3,1.4,43.5
230,0,231,Santos Laguna,1.3,1.4,43.5
231,0,232,Lugo,1.0,1.1,43.4
232,0,233,Vélez Sarsfield,1.0,1.1,43.3
233,0,234,Coritiba,1.2,1.3,43.2
234,10212,235,Marítimo,1.1,1.1,43.1
235,8388,236,Numancia,1.2,1.3,42.9
236,0,237,Reus,0.8,0.8,42.9
237,10191,238,Thun,1.5,1.7,42.8
238,0,239,Brentford,1.4,1.6,42.7
239,0,240,Zulte Waregem,1.4,1.6,42.7
240,0,241,Pachuca,1.3,1.4,42.6
241,0,242,Göztepe,1.3,1.4,42.4
242,8550,243,Metz,1.2,1.3,42.3
243,8262,244,Darmstadt 98,1.4,1.6,42.2
244,0,245,Chaves,1.2,1.3,42.2
245,0,246,Bristol City,1.2,1.4,42.2
246,8613,247,Boavista,1.0,1.1,42.1
247,0,248,1. FC Union Berlin,1.4,1.6,42.1
248,0,249,NY Red Bulls,1.3,1.4,42.1
249,0,250,Tijuana,1.2,1.3,42.0
250,0,251,San Martín,1.1,1.2,42.0
251,8540,252,Palermo,1.1,1.2,41.8
252,0,253,Molde,1.3,1.5,41.6
253,0,254,Atlas,1.2,1.4,41.4
254,0,255,Newell's Old Boys,1.0,1.2,41.4
255,9912,256,Arminia Bielefeld,1.3,1.5,41.4
256,8588,257,Lens,1.1,1.3,41.3
257,10281,258,Valladolid,1.5,1.7,41.2
258,0,259,Morelia,1.2,1.4,41.1
259,0,260,Benevento,1.2,1.3,41.1
260,0,261,Zlín,1.1,1.3,41.0
261,0,262,NK Maribor,1.4,1.7,40.9
262,8394,263,Zaragoza,1.2,1.4,40.9
263,6413,264,PEC Zwolle,1.2,1.4,40.8
264,0,265,Club América,1.1,1.3,40.8
265,0,266,Strømsgodset,1.4,1.6,40.8
266,0,267,Argentinos Juniors,1.0,1.2,40.7
267,0,268,Clermont,1.0,1.2,40.7
268,9906,269,Atlético,1.1,1.3,40.6
269,0,270,Guadalajara,1.2,1.4,40.4
270,0,271,Atlético Tucumán,1.0,1.2,40.3
271,0,272,Sheffield United,1.3,1.5,40.2
272,0,273,Sheffield Wed.,1.2,1.4,40.2
273,0,274,IFK Norrköping,1.3,1.6,40.2
274,9807,275,Belenenses,1.0,1.2,40.1
275,0,276,Tigre,1.1,1.3,40.0
276,0,277,Necaxa,1.0,1.2,39.9
277,0,278,Preston,1.1,1.4,39.8
278,0,279,Admira,1.4,1.7,39.7
279,0,280,Qarabağ,1.2,1.4,39.6
280,0,281,BTSV,1.2,1.4,39.6
281,0,282,Dynamo Dresden,1.3,1.6,39.3
282,0,283,Olimpo,1.0,1.3,39.2
283,0,284,Alcorcón,1.0,1.3,39.1
284,0,285,Gençlerbirliği,1.2,1.5,39.1
285,0,286,Atlanta,1.2,1.5,39.1
286,0,287,Sheriff,1.1,1.4,39.0
287,9879,288,Fulham,1.3,1.6,39.0
288,0,289,Cittadella,1.2,1.5,38.9
289,0,290,Ponte Preta,1.1,1.3,38.9
290,9911,291,VfL Bochum,1.1,1.4,38.8
291,0,292,Sivasspor,1.3,1.6,38.7
292,6403,293,Paços de Ferreira,1.1,1.4,38.6
293,0,294,Lobos BUAP,1.3,1.6,38.5
294,0,295,Avaí,1.1,1.4,38.5
295,7842,296,Estoril,1.1,1.4,38.4
296,7896,297,Lugano,1.1,1.5,38.4
297,0,298,Apollon Limassol,1.1,1.4,38.2
298,8674,299,Groningen,1.4,1.8,38.2
299,0,300,Leeds United,1.1,1.5,38.2
300,188163,301,Tondela,1.2,1.5,38.2
301,0,302,Puebla,1.0,1.3,38.1
302,0,303,Antalyaspor,1.2,1.5,38.1
303,0,304,Portland,1.3,1.6,38.1
304,8521,305,Brest,1.1,1.4,38.0
305,0,306,Tosno,1.2,1.5,37.9
306,0,307,Gimnástic,1.1,1.4,37.8
307,0,308,NYCFC,1.3,1.6,37.7
308,9798,309,Reading,1.1,1.4,37.7
309,0,310,Brann,1.3,1.7,37.7
310,10179,311,Sion,1.2,1.6,37.7
311,9891,312,Frosinone,1.2,1.5,37.7
312,8194,313,Fortuna,1.2,1.5,37.6
313,0,314,Sarpsborg,1.3,1.7,37.6
314,10199,315,Luzern,1.3,1.6,37.5
315,7730,316,Lausanne-Sport,1.4,1.8,37.4
316,0,317,Konyaspor,1.0,1.3,37.3
317,9976,318,Bari,1.1,1.5,37.2
318,9825,319,Arsenal,1.0,1.3,37.2
319,9865,320,Almería,1.0,1.3,37.0
320,8576,321,AC Ajaccio,1.0,1.4,37.0
321,8667,322,Hull City,1.3,1.7,36.8
322,0,323,MSV Duisburg,1.2,1.6,36.7
323,8357,324,Greuther Fürth,1.1,1.5,36.6
324,0,325,Pumas UNAM,1.1,1.5,36.5
325,0,326,Rheindorf Altach,1.1,1.5,36.5
326,0,327,Jahn Regensburg,1.2,1.7,36.4
327,0,328,Temperley,1.0,1.3,36.3
328,0,329,IFK Göteborg,1.2,1.6,36.0
329,4064,330,Feirense,1.0,1.4,36.0
330,8611,331,Twente,1.4,1.9,36.0
331,0,332,Sporting KC,0.9,1.3,36.0
332,0,333,SV Sandhausen,1.0,1.4,35.9
333,8348,334,Moreirense,1.0,1.3,35.8
334,0,335,Desportivo Aves,1.0,1.4,35.5
335,8472,336,Sunderland,1.2,1.7,35.4
336,0,337,Millwall,1.0,1.5,35.2
337,9850,338,Norwich City,1.1,1.5,35.2
338,0,339,Vålerenga,1.4,1.9,35.2
339,0,340,Paris FC,0.8,1.2,35.0
340,0,341,Vardar,1.2,1.7,35.0
341,7844,342,Vitória,1.0,1.4,35.0
342,0,343,Querétaro,1.1,1.6,35.0
343,0,344,Real Salt Lake,1.2,1.7,34.7
344,0,345,Barcelona B,1.2,1.7,34.7
345,8152,346,FC St. Pauli,1.1,1.5,34.6
346,8481,347,Nancy,1.1,1.6,34.5
347,0,348,Yeni Malatyaspor,0.9,1.4,34.5
348,10228,349,Heerenveen,1.3,1.9,34.5
349,0,350,Columbus,1.1,1.6,34.5
350,9791,351,Heracles,1.4,2.0,34.5
351,0,352,IF Elfsborg,1.5,2.1,34.4
352,0,353,Ipswich Town,1.1,1.7,34.4
353,6269,354,Novara,1.0,1.5,34.3
354,0,355,1. FC Heidenheim,1.2,1.8,34.3
355,0,356,Osmanlıspor,1.1,1.7,34.2
356,10172,357,QPR,1.1,1.6,34.2
357,0,358,Perugia,1.2,1.8,34.2
358,0,359,Patronato,1.0,1.4,34.1
359,0,360,Nottm Forest,1.1,1.7,34.1
360,0,361,SKA-Khabarovsk,1.1,1.7,33.9
361,8485,362,Aberdeen,1.1,1.6,33.9
362,0,363,LASK Linz,1.0,1.6,33.6
363,10190,364,St. Gallen,1.3,1.9,33.6
364,0,365,Skënderbeu,1.1,1.6,33.5
365,0,366,Lorca,1.0,1.5,33.4
366,0,367,Cultural Leonesa,1.1,1.6,33.4
367,0,368,Spezia,0.8,1.3,33.3
368,0,369,Philadelphia,1.1,1.7,33.3
369,9878,370,Pescara,1.3,1.9,33.2
370,9873,371,Valenciennes,1.1,1.6,33.1
371,0,372,Mattersburg,1.0,1.6,33.0
372,0,373,FC Dallas,1.1,1.7,32.9
373,0,374,Niort,1.0,1.6,32.7
374,0,375,Virtus Entella,1.0,1.5,32.7
375,0,376,Karabükspor,1.0,1.6,32.5
376,0,377,Tromsø,1.2,1.8,32.3
377,0,378,Kristiansund,1.2,1.9,32.3
378,0,379,1. FCK,1.0,1.6,32.2
379,0,380,Salernitana,1.1,1.7,32.1
380,0,381,Albacete,1.0,1.6,32.0
381,0,382,Veracruz,1.0,1.5,32.0
382,0,383,Chacarita,0.9,1.5,31.8
383,0,384,Houston,1.0,1.6,31.5
384,0,385,Hammarby,1.1,1.8,31.4
385,0,386,Venezia,0.8,1.4,31.3
386,10217,387,ADO Den Haag,1.1,1.8,31.1
387,0,388,Chicago,1.1,1.8,31.1
388,0,389,Stabæk,1.2,2.0,31.0
389,0,390,Lillestrøm,1.0,1.7,30.9
390,0,391,Cremonese,0.9,1.6,30.9
391,9858,392,Brescia,0.9,1.5,30.7
392,8525,393,Willem II,1.2,2.0,30.3
393,0,394,New England,1.1,1.9,30.2
394,7869,395,Córdoba,1.1,1.8,30.1
395,0,396,Wolfsberger AC,0.8,1.5,30.1
396,9874,397,Sochaux,1.0,1.8,30.1
397,10218,398,Excelsior,1.1,1.9,29.9
398,208931,399,Carpi,0.8,1.4,29.6
399,0,400,Sevilla Atlético,0.9,1.6,29.5
400,0,401,Vancouver,1.0,1.7,29.4
401,9880,402,Cesena,1.2,2.1,29.3
402,0,403,Montreal,1.1,1.9,29.3
403,0,404,Barnsley,1.0,1.7,29.0
404,0,405,Erzgebirge Aue,0.9,1.7,29.0
405,0,406,Châteauroux,0.9,1.7,28.8
406,8559,407,Bolton,1.0,1.8,28.2
407,9927,408,Motherwell,1.0,1.9,28.1
408,0,409,Ternana,1.1,1.9,28.0
409,8658,410,Birmingham,0.8,1.6,27.9
410,8583,411,Auxerre,0.7,1.4,27.9
411,0,412,Avellino,0.9,1.8,27.2
412,0,413,Sogndal,1.0,1.9,27.2
413,10251,414,Hibernian,0.8,1.6,27.2
414,0,415,Örebro SK,1.1,2.0,27.1
415,0,416,Kalmar FF,0.9,1.7,27.1
416,8576,417,Ajaccio,0.7,1.5,27.1
417,0,418,Halmstads BK,0.9,1.7,27.1
418,0,419,Pro Vercelli,0.9,1.7,27.0
419,0,420,IK Sirius,1.2,2.1,27.0
420,0,421,Aalesund,1.1,2.1,26.3
421,9839,422,VVV-Venlo,0.9,1.8,26.3
422,0,423,Haugesund,0.9,1.8,26.2
423,0,424,Jönköping,0.8,1.6,25.8
424,0,425,Foggia,1.0,2.1,25.6
425,9761,426,NAC Breda,1.0,2.0,25.5
426,0,427,Orléans,1.0,2.0,24.6
427,0,428,D.C. United,0.9,1.9,24.6
428,0,429,Orlando City,0.9,1.9,24.5
429,0,430,Odd,0.8,1.7,24.2
430,0,431,Burton Albion,0.8,1.8,24.1
431,0,432,Hamilton Accies,0.9,1.9,23.8
432,0,433,GIF Sundsvall,0.8,1.9,23.5
433,9803,434,Roda JC,0.9,2.0,23.3
434,0,435,LA Galaxy,0.9,2.0,23.3
435,0,436,St. Pölten,0.7,1.8,22.6
436,0,437,US Quevilly,0.8,1.8,22.5
437,0,438,Minnesota,0.9,2.1,22.4
438,0,439,Sandefjord,0.9,2.1,22.4
439,0,440,Viking,0.9,2.1,22.1
440,0,441,Ascoli,0.8,1.9,22.1
441,8614,442,Sparta Rotterdam,0.8,1.9,22.0
442,0,443,San Jose,0.8,2.0,21.4
443,0,444,Bourg-en-Bresse,1.0,2.3,21.2
444,0,445,St Johnstone,0.7,1.8,20.9
445,0,446,Colorado,0.6,1.8,20.5
446,0,447,Hearts,0.6,1.7,20.5
447,0,448,Eskilstuna,0.7,2.0,20.0
448,8649,449,Ross County,0.6,1.9,19.2
449,8597,450,Kilmarnock,0.6,1.9,18.8
450,9938,451,Dundee,0.7,2.0,18.4
451,0,452,Tours,0.7,2.2,16.4
452,8426,453,Partick Thistle,0.5,1.9,15.8
